approx : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
35 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
seconds : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
dumped : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
1879 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
nodes : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 12}
disk : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 43}
stored : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
load : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
which : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 5}
was : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
after : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
construction : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
one : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 9}
another : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
print : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
out : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
statistics : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
average : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 23}
accesses : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 8}
cpu : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
etc : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
currently : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
all : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 12}
nearest : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
neighbor : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
l2 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 6}
distance : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 9}
function : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 23}
see : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 18}
discussion : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
searching : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
below : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
lines : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
100 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
120 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
other : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
type : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 9}
range : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 13}
modify : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
based : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
loading : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
empty : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
loaded : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
objects : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 12}
acc : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 18}
008223 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
004518 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
57 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
062877 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
009754 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
31 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
025896 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
012305 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
241 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
36 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
032513 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
242 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
68 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
051635 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
243 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
023012 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
244 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
48 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
033600 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
245 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
176 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
127336 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
246 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
23 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
019883 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
247 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
97 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
063216 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
248 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
14 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
015109 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
249 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
27 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
030441 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
63 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
054714 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
access : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 15}
level : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 19}
000000 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
52 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
459999 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
7 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 5}
756000 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
61 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
215996 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
taken : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
st : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
iter : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
043191 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
explanation : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
each : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 6}
prints : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
retrieved : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
since : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 5}
were : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
nn : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 5}
visited : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
execute : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
end : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
averaged : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
over : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
hence : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
count : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
printed : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
start : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
leaf : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
accessed : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
just : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
note : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
highest : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
case : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
always : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
00 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
there : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
root : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
summed : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
across : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
levels : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
sum : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
starting : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
counted : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
now : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
or : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 11}
existing : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
suit : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
needs : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
use : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 10}
reading : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
serve : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
example : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
options : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
read : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 5}
by : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 5}
insert : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
class : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
int : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 21}
fp : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
id : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 10}
pointer : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
must : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
beginning : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
record : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
where : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
looks : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
position : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
along : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 5}
dim1 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
dimk : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
newline : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
rest : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
float : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 6}
argument : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
would : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 7}
contain : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
object : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 5}
especially : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
following : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
line : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
pass : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
name : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
constructor : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
maximum : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
char : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
datafile : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
max : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 6}
such : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
containing : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
histograms : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
uses : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
option : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
211 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
sure : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
dumping : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
memory : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 7}
void : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
htreedump : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
dumpfile : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
whose : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
passed : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
216 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
226 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
optimization : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
called : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
encoded : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
live : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
space : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
els : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 5}
