high,"['0,2,0, {683, 551}']"
highli,"['0,1,0, {398}']"
hinrich,"['0,1,0, {129}']"
holist,"['0,1,0, {974}']"
host,"['0,1,0, {288}']"
http,"['1,2,0, {125, 46}']"
hype,"['1,1,0, {111}']"
ibm,"['1,1,0, {99}']"
ic,"['0,3,2,{107, 492, 77}']"
if,"['0,1,0, {745}']"
imag,"['0,1,0, {709}']"
impact,"['0,1,0, {70}']"
in,"['0,18,0, {802, 891, 644, 389, 901, 103, 296, 205, 910, 402, 468, 889, 727, 792, 121, 507, 125, 571}']"
increas,"['0,1,0, {576}']"
inform,"['0,4,1,{833, 513, 880, 407}', '1,3,0, {40, 64, 14}']"
informat,"['0,1,1,{424}']"
innov,"['0,2,0, {888, 570}']"
insight,"['0,1,0, {461}']"
institut,"['0,1,0, {450}']"
intel,"['0,2,1,{666, 611}']"
interview,"['0,1,1,{40}']"
into,"['0,2,0, {462, 279}']"
investig,"['0,2,0, {874, 476}']"
io,"['0,1,0, {229}']"
irvin,"['0,2,0, {664, 114}']"
is,"['0,4,0, {473, 386, 397, 909}']"
issu,"['0,1,0, {646}']"
it,"['0,2,0, {346, 69}']"
javascript,"['0,1,0, {680}']"
job,"['0,2,1,{168, 809}']"
johnni,"['0,1,0, {99}']"
join,"['0,1,0, {213}']"
journey,"['0,1,1,{735}']"
justin,"['0,1,0, {96}']"
ke,"['0,2,1,{756, 733}']"
keep,"['0,1,0, {956}']"
kevin,"['0,3,1,{754, 732, 92}']"
key,"['0,1,0, {677}']"
knowledg,"['0,2,0, {51, 223}']"
kurdahi,"['0,2,1,{858, 828}']"
lab,"['0,1,0, {667}']"
last,"['1,1,0, {81}']"
lead,"['0,1,0, {459}']"
leader,"['0,1,0, {388}']"
leav,"['0,1,0, {248}']"
lectur,"['0,1,0, {26}', '1,1,0, {136}']"
lender,"['0,1,0, {156}']"
let,"['0,1,0, {140}']"
letter,"['0,3,1,{384, 817, 357}']"
lewi,"['0,1,0, {527}']"
lift,"['0,1,0, {216}']"
like,"['0,1,0, {701}']"
linkedin,"['0,1,0, {749}']"
littl,"['0,1,0, {790}']"
ll,"['0,1,0, {758}']"
lok,"['0,1,0, {304}']"
magazin,"['0,1,1,{614}']"
major,"['0,2,0, {177, 780}']"
majumd,"['0,2,1,{64, 42}']"
mani,"['0,2,0, {328, 673}']"
manufactur,"['0,3,0, {56, 890, 72}']"
martin,"['0,2,1,{162, 179}']"
mass,"['0,2,1,{619, 654}']"
master,"['0,1,0, {589}']"
mathemat,"['0,1,0, {585}']"
may,"['0,2,0, {85, 46}']"
mcdonald,"['0,1,0, {529}']"
mehrotra,"['1,1,0, {107}']"
mekhitarian,"['0,1,0, {93}']"
member,"['0,1,0, {376}']"
method,"['1,1,0, {27}']"
methodolog,"['0,1,0, {975}']"
michael,"['0,1,0, {361}', '1,1,0, {104}']"
million,"['0,1,0, {119}']"
minor,"['0,1,0, {603}']"
minut,"['0,1,0, {149}']"
modern,"['1,2,0, {114, 117}']"
modifi,"['1,1,0, {82}']"
mohan,"['1,3,0, {98, 132, 94}']"
monitor,"['0,1,0, {949}']"
more,"['0,9,0, {416, 610, 261, 74, 491, 988, 826, 348, 158}']"
motto,"['0,1,0, {761}']"
move,"['0,1,0, {252}']"
munich,"['0,1,0, {935}']"
n,"['1,1,0, {123}']"
nabili,"['0,1,0, {532}']"
nation,"['0,5,1,{449, 868, 519, 495, 563}']"
nativ,"['0,1,0, {197}']"
network,"['0,4,0, {986, 714, 893, 405}']"
neural,"['0,1,0, {713}']"
never,"['0,1,0, {766}']"
new,"['0,2,0, {241, 983}']"
news,"['0,3,1,{0, 20, 22}']"
newsql,"['1,1,0, {120}']"
next,"['0,2,0, {878, 1006}']"
nhost,"['1,1,0, {103}']"
nichola,"['0,1,0, {130}']"
nicolau,"['0,1,1,{632}']"
night,"['0,1,0, {327}']"
nih,"['0,2,1,{420, 453}']"
nikil,"['0,1,1,{847}']"
no,"['0,2,0, {181, 774}']"
nonsgml,"['1,1,0, {21}']"
nosql,"['1,1,0, {122}']"
novemb,"['0,1,0, {122}']"
now,"['0,3,0, {235, 806, 31}']"
nsf,"['0,4,1,{544, 522, 830, 871}']"
ntitl,"['1,1,0, {108}']"
oc,"['0,1,0, {250}']"
